"team","vegas_proj_wins","date"
"Cleveland Cavaliers",56,2025-11-25
"Cleveland Cavaliers",55.5,2025-11-26
"Dallas Mavericks",42.625,2025-10-29
"Dallas Mavericks",43.3333333333333,2025-10-30
"Dallas Mavericks",38.5,2025-10-31
"Dallas Mavericks",38.3333333333333,2025-11-01
"Dallas Mavericks",36,2025-11-02
"Dallas Mavericks",37,2025-11-03
"Dallas Mavericks",37,2025-11-04
"Dallas Mavericks",37,2025-11-05
"Dallas Mavericks",35.1666666666667,2025-11-06
"Dallas Mavericks",35.1666666666667,2025-11-07
"Dallas Mavericks",35,2025-11-08
"Dallas Mavericks",35,2025-11-09
"Dallas Mavericks",34.8333333333333,2025-11-10
"Dallas Mavericks",35.5,2025-11-11
"Dallas Mavericks",35.5,2025-11-12
"Dallas Mavericks",33.5,2025-11-13
"Dallas Mavericks",33.5,2025-11-14
"Dallas Mavericks",32.6666666666667,2025-11-15
"Dallas Mavericks",32,2025-11-16
"Dallas Mavericks",32.5,2025-11-17
"Dallas Mavericks",33.1666666666667,2025-11-18
"Dallas Mavericks",32.8333333333333,2025-11-19
"Dallas Mavericks",32.1666666666667,2025-11-20
"Dallas Mavericks",32.1666666666667,2025-11-21
"Dallas Mavericks",32.1666666666667,2025-11-22
"Dallas Mavericks",32.1666666666667,2025-11-23
"Dallas Mavericks",31.25,2025-11-24
"Dallas Mavericks",30.5,2025-11-25
"Dallas Mavericks",30.5,2025-11-26
"Denver Nuggets",53.5,2025-10-29
"Denver Nuggets",54.8333333333333,2025-10-30
"Denver Nuggets",54.8333333333333,2025-10-31
"Denver Nuggets",53.5,2025-11-01
"Denver Nuggets",53.5,2025-11-02
"Denver Nuggets",53.5,2025-11-03
"Denver Nuggets",53.5,2025-11-04
"Denver Nuggets",53.5,2025-11-05
"Denver Nuggets",53.5,2025-11-06
"Denver Nuggets",53.5,2025-11-07
"Denver Nuggets",55.25,2025-11-08
"Denver Nuggets",56,2025-11-09
"Denver Nuggets",55.6666666666667,2025-11-10
